# layered-euclid-burst control log
sample_rate_hz=48000 frames=772364 bpm=110 beats=24
euclid_steps=13 fills=7 rotate=4
burst_cluster=3 spacing_samples=420
euclid_seed=0xe0c11d burst_seed=0xb0057d
events=153
index,engine,when_samples,euclid_step,burst_idx,pan,sampler_tone,resonator_color,granular_spray
29952,0.975316,0.760659,0.877605
30144,0.975825,0.761189,0.876867
30336,0.976329,0.761720,0.876129
30528,0.976828,0.762249,0.875393
30720,0.977322,0.762779,0.874659
30912,0.977811,0.763308,0.873926
31104,0.978294,0.763836,0.873195
31296,0.978772,0.764365,0.872465
31488,0.979246,0.764892,0.871738
31680,0.979714,0.765420,0.871011
31872,0.980176,0.765947,0.870287
32064,0.980634,0.766474,0.869565
32256,0.981086,0.767000,0.868844
32448,0.981533,0.767526,0.868125
32640,0.981975,0.768052,0.867408
32832,0.982412,0.768577,0.866693
33024,0.982844,0.769102,0.865980
33216,0.983270,0.769627,0.865268
33408,0.983691,0.770151,0.864559
33600,0.984106,0.770674,0.863852
33792,0.984517,0.771198,0.863147
33984,0.984922,0.771721,0.862444
34176,0.985322,0.772243,0.861743
34368,0.985717,0.772765,0.861044
34560,0.986106,0.773287,0.860348
34752,0.986490,0.773808,0.859654
34944,0.986869,0.774329,0.858961
35136,0.987243,0.774850,0.858272
35328,0.987611,0.775370,0.857584
35520,0.987974,0.775889,0.856899
35712,0.988331,0.776409,0.856216
35904,0.988684,0.776927,0.855535
36096,0.989031,0.777446,0.854857
36288,0.989372,0.777964,0.854181
36480,0.989708,0.778481,0.853508
36672,0.990039,0.778998,0.852837
36864,0.990365,0.779515,0.852169
37056,0.990685,0.780031,0.851503
37248,0.991000,0.780547,0.850840
37440,0.991310,0.781063,0.850180
37632,0.991614,0.781578,0.849522
37824,0.991913,0.782092,0.848866
38016,0.992206,0.782606,0.848214
38208,0.992495,0.783120,0.847564
38400,0.992777,0.783633,0.846916
38592,0.993055,0.784146,0.846272
38784,0.993327,0.784658,0.845630
38976,0.993593,0.785170,0.844991
39168,0.993854,0.785681,0.844355
39360,0.994110,0.786192,0.843721
39552,0.994361,0.786703,0.843091
39744,0.994606,0.787213,0.842463
39936,0.994845,0.787722,0.841838
40128,0.995080,0.788231,0.841216
40320,0.995308,0.788740,0.840597
40512,0.995532,0.789248,0.839981
40704,0.995750,0.789756,0.839368
40896,0.995962,0.790263,0.838758
41088,0.996169,0.790770,0.838151
41280,0.996371,0.791276,0.837547
41472,0.996567,0.791782,0.836946
41664,0.996758,0.792287,0.836348
41856,0.996943,0.792792,0.835754
42048,0.997123,0.793296,0.835162
42240,0.997298,0.793800,0.834574
42432,0.997467,0.794304,0.833988
42624,0.997631,0.794806,0.833406
42816,0.997789,0.795309,0.832827
43008,0.997942,0.795811,0.832251
43200,0.998089,0.796312,0.831679
43392,0.998231,0.796813,0.831110
43584,0.998367,0.797313,0.830544
43776,0.998498,0.797813,0.829981
43968,0.998623,0.798312,0.829422
44160,0.998743,0.798811,0.828866
44352,0.998858,0.799310,0.828313
44544,0.998967,0.799807,0.827764
44736,0.999071,0.800305,0.827218
44928,0.999169,0.800802,0.826675
45120,0.999261,0.801298,0.826136
45312,0.999349,0.801794,0.825600
45504,0.999430,0.802289,0.825068
45696,0.999507,0.802784,0.824539
45888,0.999577,0.803278,0.824014
46080,0.999643,0.803771,0.823492
46272,0.999703,0.804264,0.822974
46464,0.999757,0.804757,0.822459
46656,0.999806,0.805249,0.821947
46848,0.999849,0.805741,0.821440
47040,0.999887,0.806232,0.820935
47232,0.999919,0.806722,0.820435
47424,0.999946,0.807212,0.819938
47616,0.999968,0.807701,0.819444
47808,0.999984,0.808190,0.818954
48000,0.999994,0.808678,0.818468
48192,1.000000,0.809166,0.817986
48384,0.999999,0.809653,0.817507
48576,0.999993,0.810140,0.817031
48768,0.999982,0.810626,0.816560
48960,0.999965,0.811111,0.816092
49152,0.999943,0.811596,0.815628
49344,0.999915,0.812081,0.815167
49536,0.999881,0.812564,0.814710
49728,0.999843,0.813048,0.814257
49920,0.999798,0.813530,0.813808
50112,0.999749,0.814012,0.813363
50304,0.999693,0.814494,0.812921
50496,0.999633,0.814975,0.812483
50688,0.999566,0.815455,0.812049
50880,0.999495,0.815935,0.811618
51072,0.999418,0.816414,0.811192
51264,0.999335,0.816893,0.810769
51456,0.999247,0.817371,0.810350
51648,0.999153,0.817848,0.809935
51840,0.999054,0.818325,0.809524
52032,0.998950,0.818801,0.809117
52224,0.998840,0.819277,0.808713
52416,0.998725,0.819752,0.808313
52608,0.998604,0.820226,0.807918
52800,0.998477,0.820700,0.807526
52992,0.998346,0.821174,0.807138
53184,0.998208,0.821646,0.806754
53376,0.998066,0.822118,0.806374
53568,0.997918,0.822590,0.805997
53760,0.997764,0.823061,0.805625
53952,0.997605,0.823531,0.805257
54144,0.997440,0.824000,0.804892
54336,0.997270,0.824470,0.804532
54528,0.997095,0.824938,0.804175
54720,0.996914,0.825406,0.803823
54912,0.996728,0.825873,0.803474
55104,0.996536,0.826339,0.803130
55296,0.996339,0.826805,0.802789
55488,0.996137,0.827271,0.802452
55680,0.995929,0.827735,0.802120
55872,0.995715,0.828199,0.801791
56064,0.995496,0.828663,0.801466
56256,0.995272,0.829125,0.801146
56448,0.995043,0.829588,0.800829
56640,0.994807,0.830049,0.800517
56832,0.994567,0.830510,0.800208
57024,0.994321,0.830970,0.799903
57216,0.994070,0.831430,0.799603
57408,0.993813,0.831889,0.799306
57600,0.993551,0.832347,0.799014
57792,0.993284,0.832805,0.798725
57984,0.993011,0.833262,0.798441
58176,0.992733,0.833718,0.798161
58368,0.992449,0.834174,0.797884
58560,0.992160,0.834629,0.797612
58752,0.991866,0.835083,0.797344
58944,0.991566,0.835537,0.797080
59136,0.991261,0.835990,0.796820
59328,0.990950,0.836442,0.796564
59520,0.990635,0.836894,0.796312
59712,0.990313,0.837345,0.796064
59904,0.989987,0.837795,0.795820
60096,0.989655,0.838245,0.795580
60288,0.989318,0.838694,0.795344
60480,0.988976,0.839142,0.795113
60672,0.988628,0.839590,0.794885
60864,0.988275,0.840037,0.794662
61056,0.987916,0.840483,0.794442
61248,0.987552,0.840929,0.794227
61440,0.987183,0.841374,0.794016
61632,0.986809,0.841818,0.793809
61824,0.986429,0.842262,0.793606
62016,0.986044,0.842704,0.793407
62208,0.985654,0.843147,0.793212
62400,0.985259,0.843588,0.793021
62592,0.984858,0.844029,0.792834
62784,0.984452,0.844469,0.792651
62976,0.984040,0.844908,0.792472
63168,0.983624,0.845347,0.792298
63360,0.983202,0.845785,0.792127
63552,0.982775,0.846222,0.791961
63744,0.982343,0.846659,0.791799
63936,0.981905,0.847095,0.791640
64128,0.981462,0.847530,0.791486
64320,0.981014,0.847965,0.791336
64512,0.980561,0.848398,0.791190
64704,0.980103,0.848831,0.791048
64896,0.979639,0.849264,0.790910
65088,0.979170,0.849695,0.790776
65280,0.978696,0.850126,0.790646
65472,0.978217,0.850556,0.790520
65664,0.977733,0.850986,0.790398
65856,0.977243,0.851414,0.790280
66048,0.976749,0.851842,0.790166
66240,0.976249,0.852270,0.790057
66432,0.975744,0.852696,0.789951
66624,0.975234,0.853122,0.789849
66816,0.974719,0.853547,0.789752
67008,0.974198,0.853971,0.789658
67200,0.973673,0.854395,0.789569
67392,0.973142,0.854818,0.789483
67584,0.972607,0.855240,0.789401
67776,0.972066,0.855661,0.789324
67968,0.971520,0.856082,0.789250
68160,0.970969,0.856502,0.789181
68352,0.970413,0.856921,0.789115
68544,0.969852,0.857339,0.789054
68736,0.969286,0.857757,0.788996
68928,0.968714,0.858174,0.788942
69120,0.968138,0.858590,0.788893
69312,0.967557,0.859005,0.788847
69504,0.966971,0.859420,0.788805
69696,0.966379,0.859834,0.788768
69888,0.965783,0.860247,0.788734
70080,0.965182,0.860659,0.788704
70272,0.964575,0.861071,0.788678
70464,0.963964,0.861481,0.788656
70656,0.963348,0.861891,0.788638
70848,0.962727,0.862301,0.788624
71040,0.962100,0.862709,0.788613
71232,0.961469,0.863117,0.788607
71424,0.960833,0.863524,0.788604
71616,0.960192,0.863930,0.788606
71808,0.959546,0.864335,0.788611
72000,0.958895,0.864740,0.788620
72192,0.958240,0.865144,0.788633
72384,0.957579,0.865547,0.788650
72576,0.956914,0.865949,0.788671
72768,0.956243,0.866350,0.788695
72960,0.955568,0.866751,0.788724
73152,0.954888,0.867151,0.788756
73344,0.954203,0.867550,0.788792
73536,0.953513,0.867948,0.788832
73728,0.952818,0.868346,0.788876
73920,0.952119,0.868742,0.788923
74112,0.951415,0.869138,0.788975
74304,0.950706,0.869533,0.789030
74496,0.949992,0.869927,0.789088
74688,0.949273,0.870321,0.789151
74880,0.948550,0.870714,0.789217
75072,0.947822,0.871105,0.789287
75264,0.947089,0.871497,0.789361
75456,0.946351,0.871887,0.789439
75648,0.945609,0.872276,0.789520
75840,0.944862,0.872665,0.789605
76032,0.944110,0.873053,0.789693
76224,0.943353,0.873440,0.789786
76416,0.942592,0.873826,0.789882
76608,0.941827,0.874211,0.789981
76800,0.941056,0.874596,0.790085
76992,0.940281,0.874979,0.790192
77184,0.939501,0.875362,0.790302
77376,0.938717,0.875744,0.790416
77568,0.937928,0.876126,0.790534
77760,0.937134,0.876506,0.790656
77952,0.936336,0.876885,0.790781
78144,0.935533,0.877264,0.790909
78336,0.934726,0.877642,0.791041
78528,0.933914,0.878019,0.791177
78720,0.933097,0.878395,0.791316
78912,0.932276,0.878771,0.791459
79104,0.931450,0.879145,0.791606
79296,0.930620,0.879519,0.791755
79488,0.929786,0.879892,0.791909
79680,0.928947,0.880264,0.792066
79872,0.928103,0.880635,0.792226
80064,0.927255,0.881005,0.792390
80256,0.926403,0.881375,0.792557
80448,0.925546,0.881744,0.792727
80640,0.924684,0.882111,0.792902
80832,0.923818,0.882478,0.793079
81024,0.922948,0.882844,0.793260
81216,0.922074,0.883209,0.793444
81408,0.921195,0.883574,0.793632
81600,0.920311,0.883937,0.793823
81792,0.919424,0.884300,0.794017
81984,0.918531,0.884662,0.794215
