# engine-hybrid-stack control log
sample_rate_hz=48000 frames=726000 bpm=128 beats=28
euclid_steps=11 fills=6 rotate=2 steps_per_beat=4
burst_cluster=4 spacing_samples=360 frames_per_step=5625
euclid_seed=0xc0ffee burst_seed=0xb17eb5e
events=244
index,engine,when_samples,euclid_step,burst_idx,pan,sampler_brightness,sampler_drive,resonator_bloom,resonator_feedback,granular_density,macro_pan
205,resonator,534735,95,1,0.264000,0.863140,0.457272,0.771290,0.976027,0.227242,0.780118
206,granular,535095,95,2,0.355000,0.861580,0.457971,0.772320,0.976570,0.226192,0.779756
207,sampler,535455,95,3,0.446000,0.860013,0.458670,0.773349,0.977108,0.225147,0.779393
208,resonator,540000,96,0,0.292000,0.839679,0.467540,0.786214,0.983380,0.212407,0.774791
209,granular,540360,96,1,0.383000,0.838027,0.468246,0.787223,0.983835,0.211434,0.774424
210,sampler,540720,96,2,0.474000,0.836368,0.468952,0.788230,0.984285,0.210466,0.774057
211,resonator,541080,96,3,0.565000,0.834704,0.469659,0.789235,0.984728,0.209504,0.773690
212,granular,551250,98,0,0.530000,0.785487,0.489802,0.816966,0.994676,0.184544,0.763201
213,sampler,551610,98,1,0.621000,0.783675,0.490521,0.817923,0.994936,0.183739,0.762826
214,resonator,551970,98,2,0.712000,0.781859,0.491240,0.818878,0.995189,0.182940,0.762450
215,granular,552330,98,3,0.803000,0.780039,0.491960,0.819831,0.995436,0.182147,0.762074
216,sampler,562500,100,0,0.768000,0.727144,0.512440,0.845977,0.999729,0.161958,0.751340
217,resonator,562860,100,1,0.859000,0.725228,0.513170,0.846874,0.999786,0.161322,0.750956
218,granular,563220,100,2,0.243000,0.723310,0.513900,0.847770,0.999835,0.160691,0.750572
219,sampler,563580,100,3,0.334000,0.721390,0.514630,0.848663,0.999879,0.160066,0.750187
220,resonator,573750,102,0,0.299000,0.666438,0.535377,0.873024,0.998378,0.144565,0.739219
221,granular,574110,102,1,0.390000,0.664477,0.536115,0.873855,0.998228,0.144092,0.738827
222,sampler,574470,102,2,0.481000,0.662515,0.536853,0.874683,0.998072,0.143624,0.738435
223,resonator,574830,102,3,0.572000,0.660553,0.537592,0.875509,0.997909,0.143161,0.738042
224,granular,585000,104,0,0.537000,0.605228,0.558535,0.897899,0.990605,0.132124,0.726852
225,sampler,585360,104,1,0.628000,0.603282,0.559278,0.898657,0.990251,0.131803,0.726452
226,resonator,585720,104,2,0.719000,0.601337,0.560022,0.899412,0.989891,0.131488,0.726052
227,granular,586080,104,3,0.810000,0.599394,0.560766,0.900166,0.989525,0.131177,0.725652
228,sampler,596250,106,0,0.775000,0.545389,0.581833,0.920411,0.976541,0.124263,0.714250
229,resonator,596610,106,1,0.866000,0.543518,0.582580,0.921091,0.975990,0.124082,0.713843
230,granular,596970,106,2,0.250000,0.541650,0.583328,0.921767,0.975432,0.123905,0.713436
231,sampler,597330,106,3,0.341000,0.539785,0.584075,0.922442,0.974869,0.123732,0.713028
232,resonator,601875,107,0,0.187000,0.516561,0.593511,0.930726,0.967229,0.121905,0.707865
233,granular,602235,107,1,0.278000,0.514748,0.594259,0.931365,0.966583,0.121788,0.707455
234,sampler,602595,107,2,0.369000,0.512940,0.595006,0.932000,0.965931,0.121674,0.707044
235,resonator,602955,107,3,0.460000,0.511136,0.595754,0.932633,0.965273,0.121565,0.706633
236,granular,613125,109,0,0.425000,0.462188,0.616873,0.949377,0.944283,0.120004,0.694936
237,sampler,613485,109,1,0.516000,0.460535,0.617620,0.949929,0.943457,0.120001,0.694519
238,resonator,613845,109,2,0.607000,0.458888,0.618367,0.950478,0.942626,0.120000,0.694102
239,granular,614205,109,3,0.698000,0.457246,0.619114,0.951024,0.941790,0.120003,0.693685
240,sampler,624375,111,0,0.663000,0.413570,0.640177,0.965269,0.915983,0.121377,0.681807
241,resonator,624735,111,1,0.754000,0.412126,0.640921,0.965731,0.914995,0.121468,0.681383
242,granular,625095,111,2,0.845000,0.410690,0.641665,0.966190,0.914003,0.121562,0.680960
243,sampler,625455,111,3,0.229000,0.409262,0.642409,0.966645,0.913006,0.121659,0.680536
automation_stride_frames=96
frame,sampler_brightness,sampler_drive,resonator_bloom,resonator_feedback,granular_density,macro_pan
0,0.799023,0.600000,0.809689,0.911915,0.999563,0.864058
96,0.799496,0.599801,0.809430,0.911758,0.999562,0.864130
192,0.799969,0.599601,0.809171,0.911601,0.999562,0.864203
288,0.800442,0.599402,0.808912,0.911444,0.999561,0.864275
384,0.800915,0.599202,0.808653,0.911287,0.999561,0.864348
480,0.801387,0.599003,0.808393,0.911129,0.999560,0.864420
576,0.801858,0.598804,0.808134,0.910972,0.999559,0.864492
672,0.802330,0.598604,0.807874,0.910814,0.999559,0.864565
768,0.802801,0.598405,0.807614,0.910656,0.999558,0.864637
864,0.803272,0.598205,0.807354,0.910499,0.999557,0.864709
960,0.803742,0.598006,0.807094,0.910341,0.999557,0.864781
1056,0.804212,0.597807,0.806834,0.910183,0.999556,0.864854
1152,0.804682,0.597607,0.806574,0.910024,0.999555,0.864926
1248,0.805151,0.597408,0.806314,0.909866,0.999555,0.864998
1344,0.805620,0.597208,0.806053,0.909708,0.999554,0.865070
1440,0.806089,0.597009,0.805792,0.909549,0.999553,0.865142
1536,0.806557,0.596810,0.805532,0.909391,0.999553,0.865214
1632,0.807025,0.596610,0.805271,0.909232,0.999552,0.865287
1728,0.807493,0.596411,0.805010,0.909073,0.999551,0.865359
1824,0.807960,0.596211,0.804749,0.908914,0.999551,0.865431
1920,0.808427,0.596012,0.804488,0.908755,0.999550,0.865503
2016,0.808893,0.595813,0.804226,0.908596,0.999549,0.865575
2112,0.809360,0.595613,0.803965,0.908436,0.999549,0.865646
2208,0.809825,0.595414,0.803703,0.908277,0.999548,0.865718
2304,0.810291,0.595215,0.803441,0.908117,0.999547,0.865790
2400,0.810756,0.595015,0.803180,0.907958,0.999546,0.865862
2496,0.811221,0.594816,0.802918,0.907798,0.999546,0.865934
2592,0.811685,0.594616,0.802656,0.907638,0.999545,0.866006
2688,0.812149,0.594417,0.802393,0.907478,0.999544,0.866077
2784,0.812613,0.594218,0.802131,0.907318,0.999543,0.866149
2880,0.813076,0.594018,0.801869,0.907157,0.999543,0.866221
2976,0.813539,0.593819,0.801606,0.906997,0.999542,0.866293
3072,0.814002,0.593619,0.801344,0.906837,0.999541,0.866364
3168,0.814464,0.593420,0.801081,0.906676,0.999540,0.866436
3264,0.814926,0.593221,0.800818,0.906515,0.999540,0.866507
3360,0.815387,0.593021,0.800555,0.906354,0.999539,0.866579
3456,0.815849,0.592822,0.800292,0.906193,0.999538,0.866651
3552,0.816309,0.592623,0.800029,0.906032,0.999537,0.866722
3648,0.816770,0.592423,0.799765,0.905871,0.999536,0.866794
