# engine-macro-orbits control log
sample_rate_hz=48000 frames=869268 bpm=123 beats=32
euclid_steps=15 fills=9 rotate=5 steps_per_beat=8
burst_cluster=5 spacing_samples=300 frames_per_step=2926.83
euclid_seed=0xbad0bee burst_seed=0xf11ed5e
events=765
index,engine,when_samples,euclid_step,burst_idx,pan_seed,macro_orbit,macro_tilt,sampler_contour,sampler_crunch,resonator_damping,resonator_spark,granular_spray
190,resonator,187317,64,0,0.658400,0.792459,0.978715,0.596164,0.990640,0.520482,0.231568,0.962758
191,sampler,187617,64,1,0.161600,0.792315,0.978746,0.594692,0.990784,0.519968,0.231562,0.962975
192,granular,187917,64,2,0.384800,0.792171,0.978776,0.593221,0.990928,0.519454,0.231555,0.963191
193,resonator,188217,64,3,0.608000,0.792027,0.978807,0.591751,0.991071,0.518941,0.231549,0.963406
194,sampler,188517,64,4,0.831200,0.791883,0.978836,0.590281,0.991212,0.518428,0.231542,0.963621
195,sampler,193171,66,0,0.269600,0.789640,0.979252,0.567609,0.993265,0.510538,0.231417,0.966871
196,granular,193471,66,1,0.492800,0.789495,0.979275,0.566157,0.993388,0.510034,0.231407,0.967075
197,resonator,193771,66,2,0.716000,0.789350,0.979298,0.564706,0.993509,0.509530,0.231398,0.967279
198,sampler,194071,66,3,0.219200,0.789204,0.979321,0.563256,0.993630,0.509027,0.231388,0.967482
199,granular,194371,66,4,0.442400,0.789059,0.979344,0.561808,0.993750,0.508524,0.231377,0.967684
200,granular,199024,68,0,0.600800,0.786797,0.979644,0.539527,0.995461,0.500798,0.231185,0.970733
201,resonator,199324,68,1,0.824000,0.786650,0.979660,0.538104,0.995562,0.500305,0.231171,0.970924
202,sampler,199624,68,2,0.327200,0.786504,0.979676,0.536682,0.995662,0.499812,0.231156,0.971115
203,granular,199924,68,3,0.550400,0.786357,0.979692,0.535262,0.995761,0.499320,0.231141,0.971304
204,resonator,200224,68,4,0.773600,0.786211,0.979707,0.533844,0.995858,0.498828,0.231125,0.971493
205,sampler,201951,69,0,0.766400,0.785365,0.979786,0.525716,0.996398,0.496008,0.231030,0.972568
206,granular,202251,69,1,0.269600,0.785218,0.979799,0.524310,0.996488,0.495520,0.231012,0.972753
207,resonator,202551,69,2,0.492800,0.785071,0.979811,0.522907,0.996577,0.495032,0.230994,0.972937
208,sampler,202851,69,3,0.716000,0.784924,0.979823,0.521505,0.996665,0.494545,0.230976,0.973120
209,granular,203151,69,4,0.219200,0.784777,0.979834,0.520106,0.996751,0.494059,0.230957,0.973302
210,granular,207805,71,0,0.377600,0.782484,0.979963,0.498669,0.997949,0.486593,0.230624,0.976045
211,resonator,208105,71,1,0.600800,0.782336,0.979968,0.497306,0.998017,0.486117,0.230599,0.976216
212,sampler,208405,71,2,0.824000,0.782188,0.979973,0.495946,0.998084,0.485641,0.230574,0.976387
213,granular,208705,71,3,0.327200,0.782039,0.979977,0.494588,0.998149,0.485166,0.230549,0.976557
214,resonator,209005,71,4,0.550400,0.781891,0.979981,0.493232,0.998214,0.484691,0.230523,0.976726
215,resonator,213659,73,0,0.708800,0.779579,0.979994,0.472535,0.999067,0.477411,0.230073,0.979263
216,sampler,213959,73,1,0.212000,0.779429,0.979992,0.471224,0.999112,0.476946,0.230041,0.979421
217,granular,214259,73,2,0.435200,0.779280,0.979989,0.469915,0.999157,0.476483,0.230008,0.979578
218,resonator,214559,73,3,0.658400,0.779130,0.979986,0.468609,0.999200,0.476020,0.229975,0.979735
219,sampler,214859,73,4,0.161600,0.778980,0.979983,0.467307,0.999242,0.475558,0.229941,0.979891
220,granular,216585,74,0,0.154400,0.778117,0.979956,0.459868,0.999463,0.472912,0.229739,0.980775
221,resonator,216885,74,1,0.377600,0.777967,0.979950,0.458586,0.999497,0.472454,0.229702,0.980926
222,sampler,217185,74,2,0.600800,0.777817,0.979944,0.457306,0.999531,0.471997,0.229665,0.981077
223,granular,217485,74,3,0.824000,0.777667,0.979937,0.456030,0.999563,0.471540,0.229628,0.981227
224,resonator,217785,74,4,0.327200,0.777516,0.979930,0.454756,0.999594,0.471084,0.229590,0.981376
225,resonator,222439,76,0,0.485600,0.775176,0.979771,0.435418,0.999929,0.464099,0.228946,0.983609
226,sampler,222739,76,1,0.708800,0.775024,0.979758,0.434200,0.999941,0.463654,0.228901,0.983747
227,granular,223039,76,2,0.212000,0.774873,0.979744,0.432984,0.999952,0.463210,0.228856,0.983885
228,resonator,223339,76,3,0.435200,0.774721,0.979730,0.431773,0.999962,0.462767,0.228810,0.984022
229,sampler,223639,76,4,0.658400,0.774570,0.979715,0.430565,0.999971,0.462324,0.228763,0.984159
230,sampler,228293,78,0,0.816800,0.772210,0.979442,0.412290,0.999960,0.455546,0.227990,0.986193
231,granular,228593,78,1,0.320000,0.772057,0.979421,0.411143,0.999950,0.455115,0.227937,0.986319
232,resonator,228893,78,2,0.543200,0.771905,0.979400,0.410000,0.999939,0.454685,0.227883,0.986444
233,sampler,229193,78,3,0.766400,0.771752,0.979378,0.408861,0.999926,0.454255,0.227829,0.986569
234,granular,229493,78,4,0.269600,0.771599,0.979356,0.407726,0.999913,0.453826,0.227775,0.986693
235,resonator,231220,79,0,0.262400,0.770718,0.979223,0.401268,0.999812,0.451371,0.227454,0.987394
236,sampler,231520,79,1,0.485600,0.770565,0.979198,0.400160,0.999791,0.450947,0.227397,0.987514
237,granular,231820,79,2,0.708800,0.770412,0.979174,0.399056,0.999769,0.450523,0.227340,0.987633
238,resonator,232120,79,3,0.212000,0.770259,0.979148,0.397956,0.999745,0.450101,0.227282,0.987752
239,sampler,232420,79,4,0.435200,0.770105,0.979123,0.396860,0.999720,0.449679,0.227224,0.987870
240,sampler,237073,81,0,0.593600,0.767718,0.978677,0.380403,0.999191,0.443230,0.226283,0.989620
241,granular,237373,81,1,0.816800,0.767564,0.978645,0.379378,0.999147,0.442820,0.226220,0.989728
242,resonator,237673,81,2,0.320000,0.767409,0.978613,0.378357,0.999103,0.442411,0.226156,0.989835
243,sampler,237973,81,3,0.543200,0.767255,0.978581,0.377340,0.999057,0.442003,0.226092,0.989942
244,granular,238273,81,4,0.766400,0.767100,0.978548,0.376328,0.999010,0.441595,0.226029,0.990048
245,granular,242927,83,0,0.204800,0.764694,0.977987,0.361211,0.998135,0.435373,0.225011,0.991619
246,resonator,243227,83,1,0.428000,0.764538,0.977948,0.360275,0.998069,0.434978,0.224945,0.991716
247,sampler,243527,83,2,0.651200,0.764383,0.977909,0.359344,0.998002,0.434584,0.224878,0.991812
248,granular,243827,83,3,0.154400,0.764227,0.977869,0.358417,0.997934,0.434191,0.224811,0.991907
